sig1,gene,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,Correlation,P-value
,ENSG00000068784.12,0,1.186461253,0,2.043614673,0,0.332890644,-0.037925887,0.068970114,-0.381033439,0.347158056,-0.922906883,0.025396293
,ENSG00000068724.15,0,0,0,4.532655377,0,-1.653609205,-1.700962597,-1.583397421,-2.003128871,-1.534870133,-0.937751306,0.018468516
,ENSG00000116062.14,0,3.751910587,0,17.48855783,0,1.455912561,1.052046844,1.212611313,0.730576903,1.46061952,-0.904873325,0.034712935
,ENSG00000138081.20,0,3.751910587,0,22.60276463,0,-0.605833315,-0.577388512,-0.62665379,-0.850990092,-0.657079241,-0.915640578,0.029037621
,ENSG00000014641.17,0,0,0,4.190168287,0,0.262493936,0.295284284,0.297798524,0.039596556,0.290223686,-0.991944765,0.000866814
,ENSG00000066032.18,0,2.855222792,0,12.9379875,0,9.791089074,8.532567359,9.353530762,7.900917306,9.374591038,-0.902800016,0.035842449
,ENSG00000115109.13,0,0,0,2.443574946,0,1.672242899,1.515715474,1.645259922,1.270446306,1.655081983,-0.929977776,0.022007607
,ENSG00000136715.18,0,0.288392954,0,4.176774864,0,0.227883703,0.225430987,0.308357458,-0.190586011,0.157088357,-0.960330776,0.009427862
,ENSG00000152128.13,0,0,0,1.192731715,0,4.155341179,4.357339805,4.088231838,3.370342374,4.019428757,-0.940946043,0.017073497
,ENSG00000115866.10,0,0,0,4.617816222,0,-0.133689742,-0.230101417,-0.188585614,-0.525168676,-0.214201421,-0.971201341,0.00584127
,ENSG00000144278.14,0,3.282289974,0,6.950505283,0,9.354717442,8.899082252,9.238952269,8.819337022,9.400864828,-0.924244706,0.024743196
,ENSG00000197635.9,0,1.136264956,0,5.623689319,0,-6.761059554,-6.741062401,-6.660661128,-7.19135843,-6.811074812,-0.944098727,0.015732251
,ENSG00000115267.5,0,1.036263479,0,1.814828242,0,-2.492014752,-3.934438795,-2.629969611,-3.814262807,-2.509459753,-0.919727043,0.026970447
,ENSG00000198586.13,0,0,0,1.374680643,0,0.015590261,0.153176022,0.122668267,-0.187423581,0.058028759,-0.915983684,0.028862176
,ENSG00000091428.17,0,2.397332058,0,14.84683248,0,0.225091748,0.079132088,0.190542448,-0.272411762,0.153686581,-0.98894521,0.001392958
,ENSG00000196659.9,0,0,0,2.033818599,0,-0.214170853,-0.406553444,-0.302664849,-0.881160742,-0.187159049,-0.952985837,0.012150392
,ENSG00000197557.6,0,0,0,0.741140123,0,-0.926196032,-0.730061902,-0.739804016,-1.408173289,-0.783444457,-0.961456531,0.009030944
,ENSG00000270574.1,0,0,0,5.45258107,0,-0.653945517,-0.247149848,-0.7158684,-4.529994075,-2.197928564,-0.907440953,0.033330266
,ENSG00000115415.18,0,0,0,1.854399921,0,-2.648952934,-2.765211611,-2.613199773,-3.123182353,-2.673802398,-0.962811225,0.008560795
,ENSG00000240344.8,0,0,0,1.17993351,0,-0.090585789,-0.076521667,-0.059668217,-0.242768661,-0.104498069,-0.974030975,0.005004012
